,Hotels,Address
0,Hilton Garden Inn,"Palayam, Thiruvananthapuram"
1,Niraamaya Retreats Surya Samudra,"Kazhivoor, Kovalam and Poovar | 6.6 km from city centre"
2,Taj Green Cove Resort and Spa Kovalam,"Samudra Beach , Kovalam and Poovar"
3,Gateway Varkala - IHCL SeleQtions,"Mundayil Road, Varkala"
4,UDAY SAMUDRA LEISURE BEACH HOTEL & SPA,"Samudra Beach , Kovalam and Poovar"
5,Mascot Hotel (KTDC),"PMG, Thiruvananthapuram"
6,Turtle On The Beach,"Kovalam Beach, Kovalam and Poovar"
7,Turtle on the Beach-Annexe,"Kovalam Beach, Kovalam and Poovar"
8,Estuary Sarovar Portico,"Poovar, Kovalam and Poovar | 19.46 km from city centre"
9,Hotel Lake Palace,Thiruvananthapuram | 21.19 km from city centre
10,Nautika Homestay,"Kovalam Beach, Kovalam and Poovar | 2.86 km from city centre"
11,Holiday Home apartments,"Varkala Beach, Varkala"
12,MINI RESIDENCY,"Karamana, Thiruvananthapuram"
13,Parvathy Nivas,"Varkala Beach, Varkala"
14,Green Valley Homestay,"Koliyoor, Kovalam and Poovar | 3.11 km from city centre"
15,The Veda Village,"Varkala Beach, Varkala"
16,Geethanjali homestay,"Sasthamangalam, Thiruvananthapuram"
17,Peace Room Homestay,"Karikkakam, Thiruvananthapuram"
18,VOYE HOMES Amla,"Kudappanamoodu, Neyyattinkara"
19,Bcanti Boutique Beach Resort,"Edava Beach, Varkala | 4.89 km from city centre"
20,AADISAKTTHI AYURVEDA AND LEISURE VILLAGE,"KS Road, Kovalam and Poovar"
