Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
PersistIQ,https://angel.co/company/persistiq,5,Aug '14,San Mateo,B2B,http://www.persistiq.com,1-10,Seed,1700000
BetterWorks (Closed),https://angel.co/company/betterworks-closed,5,Aug '14,Palo Alto,Employer Benefits Programs,http://www.betterworks.com,"",Series B,30500000
Complex Polygon,https://angel.co/company/complex-polygon,5,Aug '14,San Francisco,"",http://complexpolygon.com,1-10,"",""
Mitoo Sports,https://angel.co/company/mitoo-sports,5,Aug '14,London,iPhone,http://mitoo.co,"",Seed,1227700
Grinda & Marin Fund,https://angel.co/company/grinda-marin-fund,5,Aug '14,New York City,Consumer,http://www.fabricegrinda.com,"","",""
Breeze,https://angel.co/company/breeze,5,Sep '14,San Francisco,"",http://www.joinbreeze.com,51-200,Seed,2500000
FLIP,https://angel.co/company/flip,5,Aug '14,"",Ephemeral ,http://JustFlip.com,1-10,"",""
AngelList Consumer Fund I,https://angel.co/company/consumer-fund,5,Sep '14,San Francisco,Consumer Internet,http://angel.co,"","",""
Bluesmart,https://angel.co/company/bluesmart,5,Jan '15,San Francisco,Consumer Electronics,http://bluesmart.com,11-50,"",1044766
HauteDay,https://angel.co/company/hauteday,5,Aug '14,San Francisco,Mobile Commerce,http://www.HauteDay.com,"","",""
S2 Capital,https://angel.co/company/s2capital,5,Aug '14,San Francisco,Angels,http://s2capital.vc,"","",""
Fresh,https://angel.co/company/fresh-4,5,Sep '14,San Francisco,Developer Tools,http://www.freshvc.com,1-10,"",""
Tapstack,https://angel.co/company/tapstack,5,Aug '15,San Francisco,"",http://tapstack.com,1-10,Seed,5000000
Star.me,https://angel.co/company/star-me,5,Aug '14,Los Angeles,Curated Web,"","","",""
Zen99,https://angel.co/company/zen99,5,Aug '14,San Francisco,"",http://www.tryzen99.com,1-10,Seed,2500000
CoinTent,https://angel.co/company/cointent,5,Sep '14,San Francisco,E-Commerce Platforms,http://cointent.com,1-10,Seed,1195000
Giftcard Zen,https://angel.co/company/giftcard-zen,5,Sep '14,Phoenix,Mobile Commerce,http://www.giftcardzen.com/,11-50,"",22000000
Thrive Agritech,https://angel.co/company/thrive-agritech,5,Sep '15,New York City,Energy Efficiency,http://www.thriveagritech.com,11-50,"",3100000
Palm Drive Capital,https://angel.co/company/palm-drive-capital,5,Mar '16,"","",http://palmdrivecap.com,1-10,"",""
AngelList Enterprise Fund I,https://angel.co/company/enterprise-fund,5,Sep '14,San Francisco,Enterprise Software,http://angel.co,"","",""
Dragoneer Investment Group,https://angel.co/company/dragoneer-investment-group,5,Aug '14,San Francisco,"","","","",""
Nervana,https://angel.co/company/nervana-systems,5,Sep '15,Palo Alto,Computers,http://nervanasys.com,11-50,Series A,24400000
Insensi,https://angel.co/company/insensi,5,Oct '14,New York City,Communications Hardware,http://www.ily.co,11-50,Acquired,2400000
Blippy Social Commerce,https://angel.co/company/blippy-social-commerce,5,Jul '14,San Francisco,Mobile,http://techcrunch.com/2011/05/19/the-end-of-blippy-as-we-know-it/,"",Seed,12900000
Din,https://angel.co/company/din,5,Sep '14,San Francisco,Groceries,https://www.din.co,11-50,"",3000000
